SURVEY:   LSST
SNID:     2019144
IAUC:     NULL
SNTYPE:   40
RA:       21.310663  # deg
DEC:      -11.585222  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0258 +- 0.0013  # MW E(B-V) 
PEAKMJD:  59838.469     # estimate for LC fit codes
MJD_TRIGGER:       59782.371  
MJD_DETECT_FIRST:  59782.305  
MJD_DETECT_LAST:   60603.141  

REDSHIFT_HELIO:   1.473267 +- 0.000010  # Helio 
REDSHIFT_FINAL:   1.470866 +- 0.000010  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       8941909554  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.4733  +- 0.0100 
HOSTGAL_SPECZ:       1.4733  +- 0.0000 
HOSTGAL_RA:          21.310645    # deg 
HOSTGAL_DEC:         -11.585173    # deg 
HOSTGAL_SNSEP:       0.091       # arcsec 
HOSTGAL_DDLR:        0.598       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     8.630 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.277
HOSTGAL_SQRADIUS:     9.550   # Ixx + Iyy
HOSTGAL_MAG:     29.98  28.54  27.79  26.92  26.27  25.53 # ugrizY
HOSTGAL_MAGERR:  26.62   0.67   0.27   0.18   0.20   0.40 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SIMSED.SLSN-I-MOSFIT  
SIM_MODEL_INDEX:     7  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      40  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  779   # template index for SIMSED,NONIa
SIM_LIBID:           19143    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.47327  
SIM_REDSHIFT_CMB:    1.47087  
SIM_REDSHIFT_HOST:   1.40169  
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   8941909554 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -2.968 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                8.630 -9.000 
SIM_DLMU:            45.1386   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0501   # mag 
SIM_RA:              21.310663     # deg  
SIM_DEC:             -11.585221      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0252   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_AVTAU:         0.000     # dN/dAV = exp(-AV/AVTAU) 
SIM_AV:            0.000     # host extinction at 5510 A
SIM_RV:            3.100     # CCM89 extinction param 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59838.469    #  true PEAKMJD, days 
SIM_SALT2x0:         8.8017e-19 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.9954  # spectro-search efficiency 
SIM_TRESTMIN:        -22.73  # days 
SIM_TRESTMAX:        336.97  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

SIMSED_NPAR:   9 
SIMSED_GRIDONLY(SLSN_INDEX):    779.000000
SIMSED_param(bfield):    0.378520
SIMSED_param(mns):    1.556672
SIMSED_param(pspin):    1.090578
SIMSED_param(kappa):    0.104296
SIMSED_param(kappagamma):    0.019416
SIMSED_param(mej):    14.307070
SIMSED_param(temp):    4076.571289
SIMSED_param(vej):    9869.768555

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   21.94  21.28  20.89  20.75  20.80  20.90  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 143 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59782.3034 Y WFD  1.5843e+02  8.277e-02 4096  1.000 43.270  2.41 1.958e+04  21.9998 
OBS: 59782.3729 i WFD  2.0380e+02  2.282e-02 6144  1.000 44.590  2.76 1.553e+04  21.7270 
OBS: 59783.4058 r WFD  2.0524e+02  1.017e-02 4096  1.000 44.860  1.91 1.161e+04  21.7193 
OBS: 59784.4117 r WFD  2.1202e+02  1.228e-02 4096  1.000 44.110  1.59 7.918e+03  21.6840 
OBS: 59785.4348 z WFD  2.0230e+02  5.071e-02 4096  1.000 43.510  2.38 1.500e+04  21.7351 
OBS: 59787.4173 i WFD  2.4062e+02  3.090e-02 4096  1.000 43.840  2.83 1.019e+04  21.5466 
OBS: 59789.3645 r WFD  2.4492e+02  1.230e-02 4096  1.000 44.840  2.47 1.093e+04  21.5275 
OBS: 59790.3806 g WFD  2.0638e+02  9.055e-03 4096  1.000 44.820  2.61 6.951e+03  21.7134 
OBS: 59793.4314 z WFD  2.5563e+02  4.814e-02 4096  1.000 43.510  2.25 1.496e+04  21.4807 
OBS: 59800.4259 Y WFD  2.6590e+02  8.240e-02 4096  1.000 42.570  1.78 1.367e+04  21.4380 
OBS: 59803.2483 Y WFD  2.8196e+02  8.322e-02 4096  1.000 43.270  1.90 2.486e+04  21.3744 
OBS: 59810.3983 i WFD  3.9183e+02  2.209e-02 4096  1.000 43.850  1.54 1.230e+04  21.0173 
OBS: 59811.2446 i WFD  3.9651e+02  1.655e-02 4096  1.000 44.560  1.80 1.530e+04  21.0043 
OBS: 59812.2389 g WFD  2.8492e+02  9.924e-03 4096  1.000 44.760  2.56 7.008e+03  21.3632 
OBS: 59818.3323 u WFD  1.8045e+02  2.947e-02 4096  1.000 41.300  1.62 1.034e+03  21.8589 
OBS: 59819.2493 u WFD  1.8054e+02  3.520e-02 4096  1.000 41.190  2.11 1.006e+03  21.8588 
OBS: 59822.4213 z WFD  4.1967e+02  7.887e-02 4096  1.000 43.510  2.05 2.714e+04  20.9425 
OBS: 59823.4093 z WFD  4.2423e+02  4.375e-02 4096  1.000 43.480  1.93 1.504e+04  20.9310 
OBS: 59824.1943 i WFD  4.5872e+02  1.906e-02 4096  1.000 44.560  2.06 1.567e+04  20.8461 
OBS: 59826.4146 Y WFD  3.9382e+02  1.082e-01 4096  1.000 43.300  2.38 2.659e+04  21.0120 
OBS: 59827.2262 z WFD  4.3990e+02  2.788e-02 4096  1.000 44.260  1.75 2.142e+04  20.8917 
OBS: 59832.1652 Y WFD  4.1502e+02  9.386e-02 4096  1.000 43.280  1.88 2.856e+04  20.9550 
OBS: 59836.2009 Y WFD  4.2795e+02  5.930e-02 4096  1.000 43.310  1.54 2.223e+04  20.9215 
OBS: 59843.3928 z WFD  4.8943e+02  4.556e-02 4096  1.000 43.470  1.82 1.640e+04  20.7757 
OBS: 59844.2900 r WFD  4.4436e+02  1.082e-02 4096  1.000 44.840  1.78 1.107e+04  20.8807 
OBS: 59849.1286 r WFD  4.4403e+02  1.465e-02 4096  1.000 44.790  2.55 1.156e+04  20.8815 
OBS: 59851.1734 u WFD  1.4863e+02  3.912e-02 4096  1.000 41.250  2.81 1.031e+03  22.0700 
OBS: 59854.1341 Y WFD  4.6766e+02  8.499e-02 4096  1.000 42.550  1.79 1.359e+04  20.8254 
OBS: 59856.1441 i WFD  5.2165e+02  1.860e-02 4096  1.000 44.590  1.72 1.847e+04  20.7066 
OBS: 59864.2807 z WFD  5.1019e+02  2.348e-02 4096  1.000 45.460  1.76 5.571e+04  20.7307 
OBS: 59871.0978 r WFD  4.1129e+02  1.032e-02 4096  1.000 44.820  1.60 1.136e+04  20.9646 
OBS: 59873.0838 i WFD  5.0580e+02  1.572e-02 4096  1.000 44.570  1.63 1.528e+04  20.7401 
OBS: 59875.1775 u WFD  1.0220e+02  2.824e-02 4096  1.000 41.280  1.95 1.031e+03  22.4762 
OBS: 59876.1093 u WFD  1.0042e+02  2.910e-02 4096  1.000 41.290  2.05 1.047e+03  22.4958 
OBS: 59883.0226 Y WFD  4.6930e+02  7.237e-02 4096  1.000 42.510  1.38 1.425e+04  20.8214 
OBS: 59884.0215 Y WFD  4.6798e+02  8.243e-02 4096  1.000 42.510  1.58 1.434e+04  20.8243 
OBS: 59885.0291 Y WFD  4.6674e+02  7.959e-02 4096  1.000 42.510  1.53 1.426e+04  20.8273 
OBS: 59886.0805 z WFD  4.8592e+02  2.602e-02 4096  1.000 44.260  1.44 2.388e+04  20.7836 
OBS: 59898.0149 Y WFD  4.4485e+02  1.157e-01 4096  1.000 42.570  1.92 1.784e+04  20.8797 
